1,1,3.29,1,5.5,4,Budi
2,3,3.26,2,3.8,4,Budi
2,3,3.90,1,5.5,3.5,Budi
1,3,3.13,1,4.0,4,Budi
1,2,3.51,1,3.8,3.5,Budi
1,2,2.72,1,4.3,5.5,Budi
2,2,3.31,1,4.0,4,Budi
2,3,3.78,1,4.8,,3.5,Budi
2,3,3.10,1,3.8,5,Budi
1,3,3.19,1,5.3,4.5,Budi
1,2,2.71,1,3.3,4.5,Budi
2,4,3.44,2,5.3,4,Budi
1,1,3.05,1,3.8,4,Budi
1,3,3.24,1,4.5,4,Budi
1,2,3.28,2,5.0,5.5,Budi
2,1,3.89,1,5.0,4,Budi
2,3,3.28,1,5.0,3.5,Budi
2,3,3.34,1,4.3,4,Budi
2,3,3.44,1,4.5,4,Budi
2,1,3.28,1,5.0,4.5,Budi
2,3,3.06,1,5.0,4,Budi
2,2,3.14,2,4.8,4,Budi
2,3,3.43,1,6.3,3.5,Budi
1,2,2.71,1,2.5,4.5,Budi
2,5,3.49,1,7.0,4.5,Budi
2,3,3.41,2,4.5,4,Budi
2,1,2.94,2,5.3,5,Budi
2,3,3.17,2,4.8,4,Budi
2,2,3.51,1,3.8,3.5,Budi
2,2,3.07,1,3.3,4.5,Budi
2,3,3.22,1,4.8,3.5,Budi
2,1,3.69,2,4.0,4,Budi
1,2,3.10,1,3.8,4,Budi
2,2,3.06,1,4.0,5,Budi
1,2,3.07,1,4.8,5,Budi
1,3,3.09,1,5.0,5.5,Budi
1,2,2.85,1,2.0,4.5,Budi
1,2,2.54,3,4.8,6.5,Budi
2,2,2.90,1,5.8,6,Budi
2,5,2.58,1,7.0,7,Budi
2,2,3.59,2,6.0,4,Budi
2,5,3.03,1,4.8,4,Budi
2,3,3.06,1,4.8,4,Budi
2,1,3.04,1,5.0,4,Budi
2,3,2.99,1,5.5,4,Budi
2,2,3.10,1,3.3,4,Budi
1,3,2.83,2,4.8,4,Budi
2,2,2.94,2,5.0,4,Budi
2,2,3.27,2,5.5,4,Budi
2,2,3.69,1,7.0,3.5,Sanajaya
2,1,3.55,2,4.0,3.5,Sanajaya
2,1,3.24,1,4.8,3.5,Sanajaya
2,2,3.39,1,4.5,3.5,Sanajaya
2,4,3.28,2,4.0,3.5,Sanajaya
2,3,2.97,1,3.3,4.5,Sanajaya
2,3,2.99,1,4.0,4.5,Sanajaya
2,3,3.10,1,3.8,4,Sanajaya
2,1,3.23,1,4.5,4,Sanajaya
2,2,3.18,1,3.5,4,Sanajaya
2,3,3.08,1,3.3,4,Sanajaya
1,2,2.92,2,4.5,4,Sanajaya
1,2,2.67,2,4.3,5,Sanajaya
2,1,3.52,2,5.3,3.5,Sanajaya
2,2,3.40,1,4.5,3.5,Sanajaya
2,3,3.30,1,4.3,3.5,Sanajaya
2,1,2.66,1,5.0,5.5,Sanajaya
1,4,2.85,1,3.8,5.5,Sanajaya
1,2,2.73,1,2.8,4.5,Sanajaya
1,2,3.19,1,5.3,4.5,Sanajaya
2,2,3.30,2,5.0,4,Sanajaya
2,4,3.45,1,5.0,4,Sanajaya
2,1,3.48,1,4.8,4,Sanajaya
2,2,3.44,1,4.5,4,Sanajaya
2,3,3.51,1,4.0,3.5,Sanajaya
2,3,3.33,2,4.8,3.5,Sanajaya
2,3,3.56,1,4.5,3.5,Sanajaya
2,2,3.56,1,4.0,3.5,Sanajaya
2,1,3.85,3,3.3,4,Sanajaya
2,1,3.76,3,4.0,4,Sanajaya
2,1,3.69,3,3.8,4,Sanajaya
1,2,3.15,2,4.5,4,Sanajaya
2,3,3.33,1,3.5,4,Sanajaya
1,1,3.05,1,3.3,4,Sanajaya
2,2,3.3,2,4.5,4,Sanajaya
2,5,3.26,1,4.3,4,Sanajaya
2,1,3.24,3,5.3,4,Sanajaya
2,2,3.48,2,4.5,4,Sanajaya
2,5,3.69,1,4.3,4,Sanajaya
2,3,3.28,1,5.0,4,Sanajaya
1,3,3.66,1,3.8,4,Sanajaya
